File ID,ROMDir,Dir,File,Armor,Race,Slot,Model ID
23472,Rom,52,13.dat,None,Mithra,Body,0
23473,Rom,52,14.dat,Leather Vest,Mithra,Body,1
23474,Rom,52,15.dat,Breastplate,Mithra,Body,2
23475,Rom,52,16.dat,Tunic,Mithra,Body,3
23476,Rom,52,17.dat,Shinobi Gi,Mithra,Body,4
23477,Rom,52,18.dat,Chainmail,Mithra,Body,5
23478,Rom,52,19.dat,Lizard Jerkin,Mithra,Body,6
23479,Rom,52,20.dat,Raptor Jerkin,Mithra,Body,7
23480,Rom,52,21.dat,Mithran Separates,Mithra,Body,8
23481,Rom,52,22.dat,Hara-Ate,Mithra,Body,9
23482,Rom,52,23.dat,Cloak,Mithra,Body,10
23483,Rom,52,24.dat,Silk Cloak,Mithra,Body,11
23484,Rom,52,25.dat,Royal Squire's Chainmail,Mithra,Body,12
23485,Rom,52,26.dat,Royal Knight's Chainmail,Mithra,Body,13
23486,Rom,52,27.dat,Padded Armor,Mithra,Body,14
23487,Rom,52,28.dat,Bronze Harness,Mithra,Body,15
23488,Rom,52,29.dat,Bone Harness,Mithra,Body,16
23489,Rom,52,30.dat,Kenpogi,Mithra,Body,17
23490,Rom,52,31.dat,Wool Robe,Mithra,Body,18
23491,Rom,52,32.dat,Tactician Magician's Coat,Mithra,Body,19
23492,Rom,52,33.dat,Robe,Mithra,Body,20
23493,Rom,52,34.dat,Doublet,Mithra,Body,21
23494,Rom,52,35.dat,Darksteel Cuirass,Mithra,Body,22
23495,Rom,52,36.dat,Gambison,Mithra,Body,23
23496,Rom,52,37.dat,Battle Jupon,Mithra,Body,24
23497,Rom,52,38.dat,Iron Musketeer's Cuirass,Mithra,Body,25
23498,Rom,52,39.dat,Centurion's Scale Mail,Mithra,Body,26
23499,Rom,52,40.dat,Gavial Mail,Mithra,Body,27
23500,Rom,52,41.dat,Scale Mail,Mithra,Body,28
23501,Rom,52,42.dat,Mythril Breastplate,Mithra,Body,29
23502,Rom,52,14.dat,Leather Vest,Mithra,Body,30
23503,Rom,52,43.dat,Savage Separates,Mithra,Body,31
23504,Rom,52,44.dat,Assault Breastplate,Mithra,Body,32
23505,Rom,52,45.dat,Cardinal Vest,Mithra,Body,33
23506,Rom,52,46.dat,Scorpion Harness,Mithra,Body,34
23507,Rom,52,47.dat,Demon's Harness,Mithra,Body,35
23508,Rom,52,48.dat,Lord's Cuirass,Mithra,Body,36
23509,Rom,52,49.dat,Jujitsu Gi,Mithra,Body,37
23510,Rom,52,50.dat,Royal Knight's Aketon,Mithra,Body,38
23511,Rom,52,51.dat,Aketon,Mithra,Body,39
23512,Rom,52,52.dat,Haubergeon,Mithra,Body,40
23513,Rom,52,53.dat,Byrnie,Mithra,Body,41
23514,Rom,52,54.dat,War Shinobi Gi,Mithra,Body,42
23515,Rom,52,55.dat,Earth Doublet,Mithra,Body,43
23516,Rom,52,56.dat,Brigandine,Mithra,Body,44
23517,Rom,94,54.dat,Justaucorps,Mithra,Body,45
23518,Rom,94,55.dat,Black Cloak,Mithra,Body,46
23519,Rom,94,56.dat,Vermillion Cloak,Mithra,Body,47
23520,Rom,94,57.dat,Blue Cotehardie,Mithra,Body,48
23521,Rom,94,58.dat,Black Cotehardie,Mithra,Body,49
23522,Rom,119,34.dat,Tiger Jerkin,Mithra,Body,50
23523,Rom,267,0.dat,Toci's Harness,Mithra,Body,51
23524,Rom,119,35.dat,Iron Scale Mail,Mithra,Body,52
23525,Rom,121,70.dat,Steel Scale Mail,Mithra,Body,53
23526,Rom,121,71.dat,Coeurl Jerkin,Mithra,Body,54
23527,Rom,121,72.dat,Adaman Cuirass,Mithra,Body,55
23528,Rom,121,73.dat,Coral Harness,Mithra,Body,56
23529,Rom,121,74.dat,Noble's Tunic,Mithra,Body,57
23530,Rom,121,75.dat,Hauberk,Mithra,Body,58
23531,Rom,121,76.dat,Arhat's Gi,Mithra,Body,59
23532,Rom,121,77.dat,Dragon Mail,Mithra,Body,60
23533,Rom,124,119.dat,Rasetsu Samue,Mithra,Body,61
23534,Rom,124,120.dat,Crimson Scale Mail,Mithra,Body,62
23535,Rom,124,121.dat,Adaman Hauberk,Mithra,Body,63
23536,Rom,94,59.dat,Fighter's Lorica (WAR AF1),Mithra,Body,64
23537,Rom,134,76.dat,Warrior's Lorica (WAR AF2),Mithra,Body,65
23538,Rom,94,60.dat,Temple Cyclas (MNK AF1),Mithra,Body,66
23539,Rom,134,77.dat,Melee Cyclas (MNK AF2),Mithra,Body,67
23540,Rom,94,61.dat,Healer's Briault (WHM AF1),Mithra,Body,68
23541,Rom,134,78.dat,Cleric's Briault (WHM AF2),Mithra,Body,69
23542,Rom,94,62.dat,Wizard's Coat (BLM AF1),Mithra,Body,70
23543,Rom,134,79.dat,Sorcerer's Coat (BLM AF2),Mithra,Body,71
23544,Rom,94,63.dat,Warlock's Tabard (RDM AF1),Mithra,Body,72
23545,Rom,134,80.dat,Duelist's Tabard (RDM AF2),Mithra,Body,73
23546,Rom,94,64.dat,Rogue's Vest (THF AF1),Mithra,Body,74
23547,Rom,134,81.dat,Assassin's Vest (THF AF2),Mithra,Body,75
23548,Rom,96,89.dat,Gallant Surcoat (PLD AF1),Mithra,Body,76
23549,Rom,134,82.dat,Valor Surcoat (PLD AF2),Mithra,Body,77
23550,Rom,96,90.dat,Chaos Cuirass (DRK AF1),Mithra,Body,78
23551,Rom,134,83.dat,Abyss Cuirass (DRK AF2),Mithra,Body,79
23552,Rom,96,91.dat,Beast Jackcoat (BST AF1),Mithra,Body,80
23553,Rom,134,84.dat,Monster Jackcoat (BST AF2),Mithra,Body,81
23554,Rom,96,92.dat,Choral Justaucorps (BRD AF1),Mithra,Body,82
23555,Rom,134,85.dat,Bard's Justaucorps (BRD AF2),Mithra,Body,83
23556,Rom,96,93.dat,Hunter's Jerkin (RNG AF1),Mithra,Body,84
23557,Rom,134,86.dat,Scout's Jerkin (RNG AF2),Mithra,Body,85
23558,Rom,99,62.dat,Myochin Domaru (SAM AF1),Mithra,Body,86
23559,Rom,134,87.dat,Saotome Domaru (SAM AF2),Mithra,Body,87
23560,Rom,99,63.dat,Ninja Chainmail (NIN AF1),Mithra,Body,88
23561,Rom,134,88.dat,Koga Chainmail (NIN AF2),Mithra,Body,89
23562,Rom,99,64.dat,Drachen Mail (DRG AF1),Mithra,Body,90
23563,Rom,134,89.dat,Wyrm Mail (DRG AF2),Mithra,Body,91
23564,Rom,99,65.dat,Evoker's Doublet (SMN AF1),Mithra,Body,92
23565,Rom,134,90.dat,Summoner's Doublet (SMN AF2),Mithra,Body,93
23566,Rom,124,122.dat,Ogre Jerkin,Mithra,Body,94
23567,Rom,124,123.dat,Koenig Cuirass,Mithra,Body,95
23568,Rom,125,62.dat,War Aketon,Mithra,Body,96
23569,Rom,127,47.dat,Holy Breastplate,Mithra,Body,97
23570,Rom,127,48.dat,Yasha Samue,Mithra,Body,98
23571,Rom,127,49.dat,Kirin's Osode,Mithra,Body,99
23572,Rom,127,50.dat,Hecatomb Harness,Mithra,Body,100
23573,Rom,127,51.dat,Errant Houppelande,Mithra,Body,101
23574,Rom,127,52.dat,Fisherman's Tunica,Mithra,Body,102
23575,Rom,127,53.dat,Chocobo Jack Coat,Mithra,Body,103
23576,Rom,127,54.dat,Vagabond's Tunica,Mithra,Body,104
23577,Rom,130,1.dat,Field Tunica,Mithra,Body,105
23578,Rom,130,2.dat,Shura Togi,Mithra,Body,106
23579,Rom,130,3.dat,Dalmatica,Mithra,Body,107
23580,Rom,130,4.dat,Carapace Breastplate,Mithra,Body,108
23581,Rom,130,5.dat,Dusk Jerkin,Mithra,Body,109
23582,Rom,130,6.dat,Dragon Harness,Mithra,Body,110
23583,Rom,138,76.dat,Kingdom Aketon,Mithra,Body,111
23584,Rom,138,77.dat,Federation Aketon,Mithra,Body,112
23585,Rom,138,78.dat,Republic Aketon,Mithra,Body,113
23586,Rom,134,91.dat,Scorpion Breastplate,Mithra,Body,114
23587,Rom,134,92.dat,Austere Robe,Mithra,Body,115
23588,Rom,134,93.dat,Opaline Dress,Mithra,Body,116
23589,Rom,138,79.dat,Carpenter's Apron,Mithra,Body,117
23590,Rom,138,80.dat,Blacksmith's Apron,Mithra,Body,118
23591,Rom,138,81.dat,Weaver's Apron,Mithra,Body,119
23592,Rom,138,82.dat,Alchemist's Apron,Mithra,Body,120
23593,Rom,138,83.dat,Boneworker's Apron,Mithra,Body,121
23594,Rom,138,84.dat,Fisherman's Apron,Mithra,Body,122
23595,Rom,138,85.dat,Tanner's Apron,Mithra,Body,123
23596,Rom,138,86.dat,Culinarian's Apron,Mithra,Body,124
23597,Rom,138,87.dat,Goldsmith's Apron,Mithra,Body,125
23598,Rom,52,14.dat,Leather Vest,Mithra,Body,126
23599,Rom,143,38.dat,Omina Yukata,Mithra,Body,127
23600,Rom,145,3.dat,Hydra Harness,Mithra,Body,128
23601,Rom,145,4.dat,Shade Harness,Mithra,Body,129
23602,Rom,145,5.dat,Garish Tunic,Mithra,Body,130
23603,Rom,145,6.dat,Seer's Tunic,Mithra,Body,131
23604,Rom,145,7.dat,Hydra Doublet,Mithra,Body,132
23605,Rom,145,8.dat,Noct Doublet,Mithra,Body,133
23606,Rom,146,15.dat,Bison Jacket,Mithra,Body,134
23607,Rom,146,16.dat,Sha'ir Manteel,Mithra,Body,135
23608,Rom,146,61.dat,Barone Corazza,Mithra,Body,136
23609,Rom,146,100.dat,Igqira Weskit,Mithra,Body,137
23610,Rom,148,34.dat,Eisenbrust,Mithra,Body,138
23611,Rom,52,48.dat,Lord's Cuirass,Mithra,Body,139
23612,Rom,159,89.dat,Dream Robe,Mithra,Body,140
23613,Rom,150,79.dat,Hachiman Domaru,Mithra,Body,141
23614,Rom,150,80.dat,Blessed Briault,Mithra,Body,142
23615,Rom,151,63.dat,Chasuble,Mithra,Body,143
23616,Rom,225,91.dat,Carpenter's Smock,Mithra,Body,144
23617,Rom,225,92.dat,Blacksmith's Smock,Mithra,Body,145
23618,Rom,225,93.dat,Weaver's Smock,Mithra,Body,146
23619,Rom,225,94.dat,Alchemist's Smock,Mithra,Body,147
23620,Rom,153,34.dat,Unicorn Harness,Mithra,Body,148
23621,Rom,153,71.dat,Trader's Saio,Mithra,Body,149
23622,Rom,154,82.dat,Alumine Haubert,Mithra,Body,150
23623,Rom,155,10.dat,Plastron,Mithra,Body,151
23624,Rom,225,95.dat,Boneworker's Smock,Mithra,Body,152
23625,Rom,225,96.dat,Fisherman's Smock,Mithra,Body,153
23626,Rom,225,97.dat,Tanner's Smock,Mithra,Body,154
23627,Rom,225,98.dat,Culinarian's Smock,Mithra,Body,155
23628,Rom,225,99.dat,Goldsmith's Smock,Mithra,Body,156
23629,Rom,157,36.dat,Mithra Top,Mithra,Body,157
23630,Rom,52,14.dat,Leather Vest,Mithra,Body,158
23631,Rom,158,51.dat,Homam Corazza,Mithra,Body,159
23632,Rom,157,111.dat,Nashira Manteel,Mithra,Body,160
23633,Rom,158,107.dat,Trader's Saio (Black),Mithra,Body,161
23634,Rom,159,14.dat,Crow Jupon,Mithra,Body,162
23635,Rom,160,82.dat,Hydra Jupon,Mithra,Body,163
23636,Rom,154,20.dat,Hydra Haubert,Mithra,Body,164
23637,Rom,163,67.dat,Magus Jubbah (BLU AF1),Mithra,Body,165
23638,Rom,214,43.dat,Mirage Jubbah (BLU AF2),Mithra,Body,166
23639,Rom,160,102.dat,Corsair's Frac (COR AF1),Mithra,Body,167
23640,Rom,214,44.dat,Commodore Frac (COR AF2),Mithra,Body,168
23641,Rom,162,77.dat,Puppetry Tobe (PUP AF1),Mithra,Body,169
23642,Rom,214,45.dat,Pantin Tobe (PUP AF2),Mithra,Body,170
23643,Rom,163,68.dat,Sipahi Jawshan,Mithra,Body,171
23644,Rom,163,69.dat,Jaridah Peti,Mithra,Body,172
23645,Rom,52,14.dat,Leather Vest,Mithra,Body,173
23646,Rom,166,59.dat,Amir Korazin,Mithra,Body,174
23647,Rom,166,60.dat,Pahluwan Khazagand,Mithra,Body,175
23648,Rom,166,61.dat,Yigit Gomlek,Mithra,Body,176
23649,Rom,52,14.dat,Leather Vest,Mithra,Body,177
23650,Rom,52,14.dat,Leather Vest,Mithra,Body,178
23651,Rom,170,92.dat,Corselet,Mithra,Body,179
23652,Rom,170,93.dat,Kyudogi,Mithra,Body,180
23653,Rom,261,87.dat,Twilight Mail,Mithra,Body,181
23654,Rom,174,108.dat,Ares's Cuirass,Mithra,Body,182
23655,Rom,174,109.dat,Skadi's Cuirie,Mithra,Body,183
23656,Rom,176,19.dat,Usukane Haramaki,Mithra,Body,184
23657,Rom,176,20.dat,Marduk's Jubbah,Mithra,Body,185
23658,Rom,176,21.dat,Morrigan's Robe,Mithra,Body,186
23659,Rom,183,22.dat,Orange Racing Silks,Mithra,Body,187
23660,Rom,183,23.dat,Black Racing Silks,Mithra,Body,188
23661,Rom,183,24.dat,Purple Racing Silks,Mithra,Body,189
23662,Rom,183,25.dat,Sky Blue Racing Silks,Mithra,Body,190
23663,Rom,183,26.dat,Blue Racing Silks,Mithra,Body,191
23664,Rom,183,27.dat,Red Racing Silks,Mithra,Body,192
23665,Rom,183,28.dat,White Racing Silks,Mithra,Body,193
23666,Rom,183,29.dat,Green Racing Silks,Mithra,Body,194
23667,Rom,183,30.dat,Askar Korazin,Mithra,Body,195
23668,Rom,182,31.dat,Denali Jacket,Mithra,Body,196
23669,Rom,183,31.dat,Goliard Saio,Mithra,Body,197
23670,Rom,263,29.dat,Cuauhtli Harness,Mithra,Body,198
23671,Rom,184,76.dat,Valhalla Breastplate,Mithra,Body,199
23672,Rom,185,111.dat,Shadow Breastplate,Mithra,Body,200
23673,Rom,186,20.dat,Shadow Coat,Mithra,Body,201
23674,Rom,248,99.dat,Grim Cuirass,Mithra,Body,202
23675,Rom,248,100.dat,Timarli Jawshan,Mithra,Body,203
23676,Rom,248,101.dat,Yhel Jacket,Mithra,Body,204
23677,Rom,263,66.dat,Hyksos Robe,Mithra,Body,205
23678,Rom,263,30.dat,Fazheluo Mail,Mithra,Body,206
23679,Rom,263,91.dat,Mextli Harness,Mithra,Body,207
23680,Rom,263,92.dat,Anhur Robe,Mithra,Body,208
23681,Rom,263,93.dat,Fazheluo Radiant Mail,Mithra,Body,209
23682,Rom,52,14.dat,Leather Vest,Mithra,Body,210
23683,Rom,198,87.dat,Dancer's Casaque (DNC AF1),Mithra,Body,211
23684,Rom,261,88.dat,Twilight Cloak,Mithra,Body,212
23685,Rom,266,119.dat,Heka's Kalasiris,Mithra,Body,213
23686,Rom,198,88.dat,Scholar's Gown (SCH AF1),Mithra,Body,214
